baseline,isolation_50,isolation_60,isolation_70,isolation_80,farmonly_50,farmonly_60,farmonly_70,farmonly_80,farmhh_50,farmhh_60,farmhh_70,farmhh_80
0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,30,32,36,26,29,32,37,27,32,31,34
20,3,3,34,13,3,3,35,13,28,30,4,4
19,27,28,31,35,2,2,2,5,33,33,35,5
19,26,31,27,35,25,27,28,42,26,28,27,37
2,2,2,2,2,2,2,2,2,2,2,2,2
22,27,26,31,36,26,27,31,34,28,26,32,36
0,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,27,31,32,25,31,29,31,28,28,28,34
22,29,30,0,0,27,31,0,0,4,4,0,0
22,29,28,32,42,26,28,35,35,27,27,35,37
21,25,27,36,38,24,30,33,36,25,28,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,28,30,43,26,27,29,40,25,28,31,9
22,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
21,3,3,28,1,3,3,28,1,27,31,33,1
20,28,28,5,38,27,31,5,38,29,26,29,35
22,28,29,36,1,28,32,36,1,1,1,1,40
20,30,26,33,33,30,26,32,36,2,32,35,39
20,28,28,34,35,29,5,5,5,33,34,36,47
21,28,31,31,3,28,32,30,3,4,4,4,4
21,31,31,35,39,29,30,31,36,1,1,1,1
21,26,28,29,34,28,27,28,32,29,30,32,34
23,25,26,29,33,25,26,28,32,24,27,28,30
21,28,28,31,37,27,30,33,39,27,35,36,38
20,27,33,36,3,29,30,33,3,2,2,2,2
1,1,1,0,0,1,1,0,0,1,1,0,0
21,30,33,33,38,30,31,37,36,27,29,34,37
21,1,1,1,1,1,1,1,1,1,1,1,1
