baseline,isolation_50,isolation_60,isolation_70,isolation_80,farmonly_50,farmonly_60,farmonly_70,farmonly_80,farmhh_50,farmhh_60,farmhh_70,farmhh_80
0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,30,32,36,25,29,32,37,27,32,34,34
20,3,3,34,13,3,3,35,13,3,3,35,13
19,27,28,31,35,28,30,32,37,28,29,32,38
19,26,31,27,35,27,26,28,42,27,26,28,37
2,2,2,2,2,2,2,2,2,2,2,2,2
22,27,26,31,36,26,27,31,34,25,30,32,36
0,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,27,31,32,25,30,29,31,26,27,30,32
22,29,30,0,0,27,31,0,0,27,28,0,0
22,29,28,32,42,26,28,35,35,27,27,35,37
21,25,27,36,38,23,28,33,36,26,26,38,33
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,28,30,43,24,27,30,40,24,28,30,39
22,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
21,3,3,28,1,3,3,28,1,3,3,29,1
20,28,28,5,38,27,31,5,38,27,28,5,35
22,28,29,36,1,28,32,36,1,31,30,39,1
20,30,26,33,33,30,27,32,36,31,29,36,37
20,28,28,34,35,29,31,32,36,27,30,32,37
21,28,31,31,3,28,32,30,3,30,31,30,3
21,31,31,35,39,29,30,31,36,30,30,32,42
21,26,28,29,34,25,29,29,34,25,29,31,33
23,25,26,29,33,25,26,28,32,25,26,31,35
21,28,28,31,37,27,30,33,39,27,29,33,37
20,27,33,36,3,29,30,33,3,27,32,35,3
1,1,1,0,0,1,1,0,0,1,1,0,0
21,30,33,33,38,30,31,37,36,27,30,35,36
21,1,1,1,1,1,1,1,1,1,1,1,1
